,Chuquisaca,La Paz,Cochabamba,Oruro,Potosí,Tarija,Santa Cruz,Beni,Pando
2020-03-10,0,0,0,0,0,0,0,0,0
2020-03-11,0,0,0,0,0,0,0,0,0
2020-03-12,0,0,0,0,0,0,0,0,0
2020-03-13,0,0,0,0,0,0,0,0,0
2020-03-14,0,0,0,0,0,0,0,0,0
2020-03-15,0,0,0,0,0,0,0,0,0
2020-03-16,0,0,0,0,0,0,0,0,0
2020-03-17,0,0,0,0,0,0,0,0,0
2020-03-18,0,0,0,0,0,0,0,0,0
2020-03-19,0,0,0,0,0,0,0,0,0
2020-03-20,0,0,0,0,0,0,0,0,0
2020-03-21,0,0,0,0,0,0,0,0,0
2020-03-22,0,0,0,0,0,0,0,0,0
2020-03-23,0,0,0,0,0,0,0,0,0
2020-03-24,0,0,0,0,0,0,0,0,0
2020-03-25,0,0,0,0,0,0,0,0,0
2020-03-26,0,0,0,0,0,0,0,0,0
2020-03-27,0,0,0,0,0,0,0,0,0
2020-03-28,0,0,0,0,0,0,0,0,0
2020-03-29,1,11,18,8,3,0,51,0,1
2020-03-30,1,11,20,8,3,1,56,0,1
2020-03-31,1,13,20,8,4,1,60,0,1
2020-04-01,1,13,21,7,4,1,63,0,4
2020-04-02,1,15,22,7,5,1,65,0,6
2020-04-03,1,15,24,7,5,1,69,0,6
2020-04-04,1,18,24,7,5,1,84,0,6
2020-04-05,1,27,32,7,5,1,92,0,6
2020-04-06,1,30,31,7,8,1,95,0,6
2020-04-07,1,32,36,7,9,1,98,0,10
2020-04-08,1,50,45,7,12,1,118,0,10
2020-04-09,1,50,46,7,12,1,120,0,10
2020-04-10,1,52,46,7,12,1,124,0,10
2020-04-11,1,57,45,9,14,1,136,0,11
2020-04-12,1,63,48,10,14,2,152,0,11
2020-04-13,1,69,50,11,14,2,162,0,11
2020-04-14,1,79,53,27,14,2,175,0,11
2020-04-15,1,89,55,27,14,2,199,0,11
2020-04-16,1,107,48,28,15,2,196,0,11
2020-04-17,1,102,49,32,17,3,215,0,12
2020-04-18,1,108,49,35,17,3,233,0,12
2020-04-19,1,115,49,35,18,3,268,0,11
2020-04-20,1,116,42,39,18,3,295,2,11
2020-04-21,0,0,0,0,0,0,0,0,0
2020-04-22,1,118,44,49,20,3,341,1,11
2020-04-23,2,124,47,52,20,3,352,1,5
2020-04-24,0,0,0,0,0,0,0,0,0
2020-04-25,2,128,52,55,25,3,438,38,5
2020-04-26,2,137,59,65,25,3,468,56,5
2020-04-27,3,151,50,78,23,3,489,61,5
2020-04-28,3,147,51,78,23,3,516,62,5
2020-04-29,3,160,52,86,23,3,536,66,5
2020-04-30,0,0,0,0,0,0,0,0,0
2020-05-01,4,179,49,91,23,3,595,80,5
2020-05-02,4,187,50,77,23,3,704,187,5
2020-05-03,4,188,50,76,23,3,797,206,5
2020-05-04,4,183,51,76,30,3,867,206,5
2020-05-05,5,191,43,78,28,5,969,205,5
2020-05-06,5,195,43,70,28,5,1042,204,5
2020-05-07,10,206,43,62,28,5,1186,215,5
2020-05-08,10,223,44,60,28,8,1254,292,4
2020-05-09,13,222,49,60,28,7,1394,288,4
2020-05-10,14,226,58,58,26,7,1482,290,4
2020-05-11,12,229,58,58,27,7,1652,363,4
2020-05-12,12,223,78,62,28,10,1744,362,4
2020-05-13,12,207,95,61,28,10,1844,406,4
2020-05-14,12,202,117,58,28,10,1960,473,4
2020-05-15,12,186,137,58,28,10,2039,505,4
2020-05-16,13,157,155,58,24,10,2259,508,4
2020-05-17,14,150,165,60,26,10,2490,507,4
2020-05-18,14,151,168,58,27,9,2619,536,4
2020-05-19,14,160,180,59,27,8,2679,628,4
2020-05-20,13,162,193,58,28,9,2925,775,4
2020-05-21,13,172,200,59,29,11,3082,841,4
2020-05-22,6,174,219,60,29,10,3327,945,4
2020-05-23,8,161,227,62,29,10,3539,1026,4
2020-05-24,8,161,261,65,24,10,3828,1022,5
2020-05-25,9,169,266,66,23,10,4141,1063,5
2020-05-26,9,167,267,68,23,9,4480,1157,5
2020-05-27,12,163,298,70,23,9,4952,1267,5
2020-05-28,12,163,340,74,25,12,5311,1414,5
2020-05-29,12,180,407,81,27,14,5477,1482,2
2020-05-30,11,208,473,103,19,22,5945,1610,2
2020-05-31,10,235,528,117,39,22,6021,1709,2
2020-06-01,12,276,620,123,41,26,6166,1785,2
2020-06-02,13,333,683,129,64,26,6208,1859,2
2020-06-03,15,349,742,132,67,29,6400,1987,10
2020-06-04,16,371,778,146,88,33,6575,2155,10
2020-06-05,22,391,838,154,113,38,6697,2299,10
2020-06-06,23,430,899,161,137,44,6936,2338,34
2020-06-07,23,444,974,165,149,44,6875,2368,50
2020-06-08,27,466,1036,179,154,51,6936,2416,50
2020-06-09,27,490,1103,190,165,54,7320,2540,78
2020-06-10,44,517,1169,199,168,55,7629,2613,114
2020-06-11,56,601,1233,225,230,63,8058,2637,157
2020-06-12,67,649,1299,249,235,72,8404,2744,220
2020-06-13,82,715,1386,259,253,96,8699,2750,249
2020-06-14,83,786,1569,267,289,96,8621,2756,268
2020-06-15,96,841,1717,274,300,107,8630,2757,289
2020-06-16,106,882,1749,281,317,133,8926,2783,295
2020-06-17,110,923,1866,295,334,156,9043,2914,363
2020-06-18,158,1003,1996,316,348,170,9001,3106,384
2020-06-19,166,1083,2110,330,362,185,9207,3248,400
2020-06-20,222,1158,2165,337,376,215,9416,3347,450
2020-06-21,261,1372,2350,353,380,222,9394,3373,456
2020-06-22,259,1504,2404,453,498,247,9562,3423,466
2020-06-23,339,1551,2555,529,510,269,9502,3513,475
2020-06-24,374,1736,2690,547,521,296,9573,3604,475
2020-06-25,419,1940,2717,560,531,355,9624,3627,479
2020-06-26,472,2143,2970,631,532,394,9451,3634,526
2020-06-27,525,2324,3128,629,546,473,9727,3666,530
2020-06-28,583,2424,3165,710,572,494,9792,3725,528
2020-06-29,589,2497,3164,728,595,551,9721,3752,529
2020-06-30,649,2556,3285,776,604,606,9995,3758,527
2020-07-01,706,2763,3355,821,618,661,9948,3805,585
2020-07-02,745,2910,3418,822,647,711,10171,3823,652
2020-07-03,781,3145,3631,868,653,776,10343,3880,655
2020-07-04,845,3372,3643,909,682,858,10485,3886,741
2020-07-05,890,3687,3640,953,684,910,10681,3884,867
2020-07-06,922,4160,3836,996,704,975,10637,3936,938
2020-07-07,986,4342,3859,1085,706,1003,10647,4031,958
2020-07-08,1005,4611,3973,1166,732,1144,10734,4201,958
2020-07-09,1066,4829,4063,1216,740,1209,10763,4277,958
2020-07-10,1065,5124,4159,1300,736,1377,10864,4364,956
2020-07-11,1189,5743,4203,1360,745,1418,11124,4375,956
2020-07-12,1219,6039,4299,1411,780,1406,11014,4395,974
2020-07-13,1219,6430,4346,1472,804,1437,11012,4409,961
2020-07-14,1255,6674,4441,1517,854,1562,11461,4447,939
2020-07-15,1303,6898,4623,1559,885,1642,11591,4491,927
2020-07-16,1361,7195,4715,1578,944,1770,12163,4552,915
2020-07-17,1379,7350,4606,1660,952,1894,12859,4558,913
2020-07-18,1423,8023,4749,1691,961,2178,13216,4585,1006
2020-07-19,1418,8696,4697,1718,1032,2283,13393,4609,1032
2020-07-20,1444,9200,4708,1720,1046,2333,13781,4638,1028
2020-07-21,1449,9619,4770,1799,962,2305,14205,4673,1012
2020-07-22,1425,10378,4830,1867,1023,2308,14503,4682,1070
2020-07-23,1408,10883,4869,1933,1025,2311,14617,4699,1070
2020-07-24,1422,11165,4966,1977,1144,2319,14486,4780,1110
2020-07-25,1436,12205,4907,2050,1149,2471,14673,4791,1113
2020-07-26,1420,12584,4894,2141,1189,2688,14854,4792,1115
2020-07-27,1434,13191,5337,2185,1169,2791,15044,4784,1121
2020-07-28,1425,13367,5423,2207,1183,2932,15212,4769,1118
2020-07-29,1412,13667,5451,2223,1171,3032,15419,4709,1136
2020-07-30,1371,14238,5490,2342,1171,3218,15423,4674,1108
2020-07-31,1439,14575,5826,2342,1137,3346,15744,4714,1107
2020-08-01,1473,15005,6076,2804,1168,3397,15976,4754,1108
2020-08-02,1502,15376,6183,2884,1214,3603,16169,4813,1100
2020-08-03,1543,16251,6303,2917,1254,3690,16311,4774,1065
2020-08-04,1596,16620,6394,3023,1279,3731,16124,4791,1093
2020-08-05,1607,17450,6487,3081,1287,3748,15757,4778,1124
2020-08-06,1639,17923,6491,3124,1298,3755,15414,4795,1146
2020-08-07,1705,18784,6480,3131,1324,3748,15088,4793,1175
2020-08-08,1730,19336,6430,3188,1330,3733,14799,4806,1212
2020-08-09,1710,19746,6429,3207,1360,3693,14348,4814,1244
2020-08-10,1778,20403,6410,3215,1394,3784,14017,4855,1244
2020-08-11,1867,20971,6279,3239,1676,3911,13650,4935,1286
2020-08-12,1962,21637,6153,3255,1792,4040,13295,4941,1339
2020-08-13,2100,22025,6051,3218,2030,4162,12986,4911,1372
2020-08-14,2247,22434,5912,3179,2234,4320,12665,4881,1416
2020-08-15,2363,22823,5790,3195,2423,4342,12213,4882,1474
2020-08-16,2518,23292,5534,3204,2534,4386,11926,4882,1519
2020-08-17,2662,23484,5256,3197,2657,4417,11539,4893,1524
2020-08-18,2743,23570,5008,3203,3423,4647,11114,4939,1577
2020-08-19,2769,24212,4895,2887,3676,4917,10863,5004,1629
2020-08-20,2797,24341,4676,2807,3754,5070,10533,4989,1682
2020-08-21,2814,24639,4487,2855,3842,5310,10179,5043,1759
2020-08-22,2844,24131,4376,2754,3935,5413,9740,5126,1779
2020-08-23,2873,23765,4208,2804,3965,5433,9312,5105,1779
2020-08-24,2882,23559,4117,2824,4006,5448,8832,5065,1787
2020-08-25,2890,22925,3862,2827,4106,5471,8430,5141,1808
2020-08-26,2880,23010,3670,2842,4292,5178,8173,5098,1828
2020-08-27,2874,22499,3573,2759,4369,4919,7834,5148,1842
2020-08-28,2872,22047,3478,2775,4388,4746,7569,5205,1834
2020-08-29,2872,21441,3407,2760,4396,4674,7097,5179,1841
2020-08-30,2824,20814,3288,2779,4396,4582,6797,5182,1843
2020-08-31,2857,19932,3197,2771,4443,4370,6553,5194,1846
2020-09-01,2879,19089,3115,2770,4554,4214,6353,5220,1848
2020-09-02,2883,18061,3041,2769,4558,4189,6093,5252,1805
2020-09-03,2901,17098,2946,2831,4564,4324,5813,5323,1809
2020-09-04,2893,16188,2881,2852,4623,4301,5508,5331,1816
2020-09-05,2882,15383,2820,2862,4628,4302,5242,5344,1814
2020-09-06,2894,14322,2724,2881,4683,4271,3329,5351,1817
2020-09-07,2841,13514,2627,2871,4842,4444,3087,5377,1797
2020-09-08,2777,12423,2554,2878,4972,4482,2866,5367,1794
2020-09-09,2758,11521,2476,2921,5111,4513,2569,5322,1792
2020-09-10,2681,10541,2409,2846,5270,4411,2251,5332,1788
2020-09-11,2634,9943,2425,2838,5382,4426,2013,5266,1755
2020-09-12,2599,9277,2471,2801,5469,4570,1763,5192,1747
2020-09-13,2559,8709,2452,2822,5506,4671,1556,5139,1747
2020-09-14,2516,8897,2392,2832,5577,4742,1258,5070,1743
2020-09-15,2471,8745,2373,2820,5552,4892,1050,4980,1740
2020-09-16,2469,8687,2292,2798,5550,5091,834,4914,1728
2020-09-17,2520,8629,2234,2774,5508,5260,680,4859,1728
2020-09-18,2551,8564,2188,2729,5528,5460,511,4788,1725
2020-09-19,2540,8603,2102,2687,5523,5541,430,4701,1725
2020-09-20,2511,8600,2020,2668,5521,5469,312,4616,1725
2020-09-21,2453,8580,1947,2649,5542,5421,227,4548,1725
2020-09-22,2440,8485,1889,2652,5579,5386,212,4539,1725
2020-09-23,2355,8437,1835,2667,5479,5453,211,4566,1700
2020-09-24,2271,8420,1807,2687,5513,5605,205,4543,1701
2020-09-25,2193,8323,1744,2688,5537,5598,293,4478,1700
2020-09-26,2095,8246,1700,2688,5594,5640,287,4411,1697
2020-09-27,2063,8180,1650,2685,5603,5742,290,4341,1698
2020-09-28,2028,8069,1618,2690,5601,5779,291,4252,1671
2020-09-29,1949,7917,1604,2679,5610,5885,311,4188,1672
2020-09-30,1878,7769,1565,2683,5543,6251,312,4143,1673
2020-10-01,1840,7633,1529,2661,5496,6293,309,4115,1674
2020-10-02,1795,7548,1500,2657,5474,6430,371,4077,1668
2020-10-03,1764,7454,1420,2648,5536,6521,374,4007,1667
2020-10-04,1743,7334,1340,2651,5525,6622,383,3955,1667
2020-10-05,1702,7261,1293,2645,5544,6601,381,3877,1667
2020-10-06,1654,7261,1276,2644,5598,6492,414,3763,1668
2020-10-07,1605,7093,1244,2620,5598,6298,433,3693,1662
2020-10-08,1601,6963,1195,2560,5570,6303,438,3637,1662
2020-10-09,1583,6882,1158,2554,5556,6159,467,3596,1662
2020-10-10,1551,6816,1122,2558,5519,6128,466,3563,1662
2020-10-11,1516,6772,1074,2561,5507,6084,454,3533,1662
2020-10-12,1499,6614,1041,2536,5498,6029,459,3510,1660
2020-10-13,1447,6527,1015,2494,5394,6032,465,3460,1654
2020-10-14,1419,6454,980,2491,5307,5997,526,3321,1627
2020-10-15,1388,6361,963,2464,5181,5764,531,3136,1625
2020-10-16,1379,6281,955,2468,5169,5736,540,3074,1625
2020-10-17,1384,6230,932,2473,5169,5686,520,3026,1625
2020-10-18,1367,6111,909,2481,5165,5656,512,2981,1625
2020-10-19,1347,6020,908,2467,5088,5562,514,2900,1625
2020-10-20,1333,5946,889,2448,5090,5318,519,2815,1627
2020-10-21,1329,5833,872,2363,5085,5013,541,2679,1625
2020-10-22,1326,5724,849,2320,5019,4954,569,2525,1625
2020-10-23,1325,5598,806,2313,4978,4726,578,2422,1625
2020-10-24,1318,5477,776,2318,4982,4657,571,2361,1625
2020-10-25,1316,5418,754,2292,4977,4302,547,2318,1626
2020-10-26,1269,5308,723,2252,4936,4179,556,2218,1625
2020-10-27,1207,5197,694,2230,4916,4068,582,2164,1625
2020-10-28,1151,5086,677,2221,4895,3945,602,2122,1625
2020-10-29,1089,5028,664,2218,4801,3864,617,2115,1624
2020-10-30,1035,4971,651,2224,4720,3817,623,2072,1625
2020-10-31,997,4907,624,2229,4712,3806,617,2012,1625
2020-11-01,940,4808,599,2232,4711,3742,614,1983,1625
2020-11-02,897,4727,596,2232,4716,3714,601,1963,1625
2020-11-03,833,4652,579,2166,4705,3589,605,1904,1626
2020-11-04,811,4580,573,2162,4698,3517,631,1863,1627
2020-11-05,759,4437,567,2117,4680,3365,653,1843,1626
2020-11-06,745,4281,550,2098,4622,3229,688,1821,1629
2020-11-07,713,4184,544,2093,4612,3159,683,1792,1632
2020-11-08,696,4079,530,2102,4616,3126,668,1765,1632
2020-11-09,666,3915,517,2093,4563,3033,692,1767,1632
2020-11-10,647,3780,510,2084,4545,2991,701,1767,1632
2020-11-11,608,3651,500,1981,4485,2921,714,1749,1631
2020-11-12,577,3483,496,1985,4434,2888,724,1709,1631
2020-11-13,547,3442,496,1981,4319,2869,753,1691,1631
2020-11-14,543,3378,489,1983,4262,2845,739,1639,1634
2020-11-15,527,3256,481,1986,4253,2805,744,1574,1634
2020-11-16,516,3186,491,1961,4232,2736,761,1541,1634
2020-11-17,500,3091,486,1863,4208,2727,776,1532,1635
2020-11-18,462,2950,473,1767,4125,2647,782,1520,1635
2020-11-19,447,2861,468,1771,4059,2652,797,1496,1625
2020-11-20,427,2755,464,1754,4012,2600,810,1478,1625
2020-11-21,424,2672,464,1755,4017,2614,803,1464,1625
2020-11-22,417,2599,465,1765,4030,2614,768,1450,1625
2020-11-23,412,2535,451,1680,4024,2612,781,1450,1625
2020-11-24,410,2463,450,1619,4013,2595,806,1417,1611
2020-11-25,393,2350,446,1595,4015,2504,828,1424,1579
2020-11-26,396,2220,461,1530,3826,2479,839,1397,1583
2020-11-27,394,2133,452,1527,3825,2462,841,1283,1584
2020-11-28,398,2020,435,1526,3823,2480,839,1257,1585
2020-11-29,393,1921,402,1532,3802,2478,846,1239,1585
2020-11-30,391,1825,389,1527,3792,2463,873,1203,1586
2020-12-01,370,1522,410,1469,3499,2430,881,1193,1578
2020-12-02,370,1384,404,616,3500,2414,937,1148,1576
2020-12-03,365,1324,370,509,3478,2407,1021,1143,1572
2020-12-04,353,1256,395,396,3425,2399,1009,1141,1574
2020-12-05,341,1202,384,366,3451,2408,1033,1143,1576
2020-12-06,341,1183,373,308,3457,2403,1025,1100,1576
2020-12-07,337,1146,379,310,3454,2368,1055,1056,1574
2020-12-08,338,1114,378,313,3427,2326,1115,1029,1574
2020-12-09,332,1106,373,322,3373,2280,1227,1029,1524
2020-12-10,328,1140,379,326,3389,2245,1347,987,1520
2020-12-11,328,1146,384,327,3388,2243,1494,962,1526
2020-12-12,324,1168,385,337,3315,2224,1675,964,1532
2020-12-13,320,1206,370,338,3310,2217,1681,936,1533
2020-12-14,315,1203,358,339,3230,2188,1793,922,1534
2020-12-15,313,1234,353,313,3143,2200,2000,884,1530
2020-12-16,293,1302,366,322,3101,2212,2217,888,1534
2020-12-17,297,1434,369,334,3063,2181,2393,862,1546
2020-12-18,302,1505,391,337,2915,2143,2609,823,1551
2020-12-19,328,1576,409,351,2933,2124,2834,805,1560
2020-12-20,374,1676,408,373,2812,2122,2892,790,1571
2020-12-21,372,1639,460,378,2715,2108,3035,755,1572
2020-12-22,385,1723,511,390,2635,2115,3364,765,1579
2020-12-23,411,2007,563,342,2518,2141,3615,782,1568
2020-12-24,470,2293,624,362,2437,2181,3923,790,1578
2020-12-25,541,2392,628,374,2470,2177,3837,779,1555
2020-12-26,550,2542,705,380,2396,2194,4193,769,1558
2020-12-27,565,2715,735,388,2360,2192,4241,761,1566
2020-12-28,589,2767,785,390,2306,2193,4474,806,1558
2020-12-29,639,2997,952,405,2262,2232,5031,759,1565
2020-12-30,730,3304,1067,456,2191,2238,5423,832,1403
2020-12-31,882,3624,1253,478,2118,2209,6051,859,1388
2021-01-01,945,3996,1292,531,2079,2229,5954,855,1419
2021-01-02,1006,4343,1376,538,2074,2267,5995,822,1435
2021-01-03,1038,4397,1461,545,2007,2259,6266,782,1458
2021-01-04,1116,4474,1612,555,1994,2217,6529,819,1465
2021-01-05,1162,4731,1793,395,1933,2161,6990,880,1479
2021-01-06,1291,4974,2011,462,1978,2156,7195,992,1449
2021-01-07,1379,5570,2202,495,2026,2139,7354,1020,1136
2021-01-08,1530,6154,2502,546,1975,2080,7994,1109,1054
2021-01-09,1658,6471,2629,617,1959,2101,8194,1176,938
2021-01-10,1733,6829,2712,678,1944,2070,8309,1202,956
2021-01-11,1847,7038,2888,698,1943,2022,8370,1271,987
2021-01-12,1924,7218,3009,798,1961,2020,8299,1386,1020
2021-01-13,2063,7700,3070,851,1975,2019,8460,1452,1064
2021-01-14,2218,8190,3189,941,2065,2054,8391,1615,1087
2021-01-15,2321,8713,3342,988,2114,2056,9241,1829,1135
2021-01-16,2445,9216,3453,1071,2121,2124,9693,1888,1125
2021-01-17,2582,9718,3477,1154,2176,2118,9799,1935,1151
2021-01-18,2691,9954,3515,1195,2171,2135,9966,1992,1207
2021-01-19,2801,10235,3716,1135,2144,2175,10191,2172,1262
2021-01-20,2900,10646,3767,1308,2288,2222,10645,2330,1297
2021-01-21,3037,11114,3889,1370,2335,2097,11191,2471,1327
2021-01-22,3178,11351,3974,1512,2394,2210,11089,2590,1338
2021-01-23,3298,11866,4041,1600,2385,2128,11010,2632,1207
2021-01-24,3368,12145,4005,1650,2383,2135,11052,2660,1215
2021-01-25,3547,12242,4047,1731,2353,2130,11356,2655,1237
2021-01-26,3760,12758,4035,1804,2343,2198,11701,2695,1254
2021-01-27,3942,13293,4080,1385,2342,2237,12057,2923,1271
2021-01-28,4021,13814,4135,1557,2363,2232,12362,3004,1290
2021-01-29,4223,14474,4059,1711,2409,2300,12276,3091,1307
2021-01-30,4280,14998,4044,1849,2445,2344,12157,3140,1311
2021-01-31,4404,15509,4014,1996,2482,2270,12070,3166,1323
2021-02-01,4432,15859,3943,2025,2476,2326,12013,3122,1338
2021-02-02,4474,16403,3943,2113,2503,2429,11753,3178,1353
2021-02-03,4516,16835,3958,2205,2599,2502,11333,3197,1393
2021-02-04,4590,17130,3978,2291,2702,2537,10773,3270,1430
2021-02-05,4635,17332,3823,2428,2771,2605,10693,3327,1163
2021-02-06,4650,17575,3797,2520,2806,2634,10556,3353,1130
2021-02-07,4691,17836,3718,2575,2866,2632,10289,3363,1161
2021-02-08,4706,18043,3687,2610,2868,2624,9896,3315,1159
2021-02-09,4696,18271,3499,2632,2916,2689,9634,3349,1144
2021-02-10,4712,18577,3463,2701,2979,2739,9086,3376,1163
2021-02-11,4745,18761,3362,2707,2979,2782,8586,3394,1165
2021-02-12,4773,18973,3316,2709,2897,2764,8012,3415,1174
2021-02-13,4795,18915,3271,2731,2923,2818,7533,3440,1173
2021-02-14,4827,19062,3265,2725,2914,2830,7510,3448,1174
2021-02-15,4807,19099,3121,2721,2893,2842,6777,3420,1173
2021-02-16,4855,19277,2973,2726,2884,2847,6114,3421,1180
2021-02-17,4796,19364,2851,2734,2866,2862,5786,3408,1187
2021-02-18,4755,19456,2738,2783,2859,2848,5608,3398,1192
2021-02-19,4739,19613,2596,2752,2873,2896,5446,3410,1128
2021-02-20,4768,19770,2535,2789,2846,2948,5393,3455,1133
2021-02-21,4751,19806,2498,2800,2870,2949,5448,3435,1139
2021-02-22,4714,19882,2450,2806,2848,2981,5319,3448,1140
2021-02-23,4710,19993,2418,1463,2858,3005,5180,3456,1144
2021-02-24,4718,20119,2368,1552,2834,3060,5079,3460,1150
2021-02-25,4710,20223,2234,1576,2828,3106,4901,3450,1136
2021-02-26,4736,20395,2234,1626,2775,3170,4782,3468,1146
2021-02-27,4743,20478,2170,1665,2767,3214,4694,3488,1147
2021-02-28,4773,20417,2206,1691,2722,3230,4647,3496,1147
2021-03-01,4760,20437,2143,1730,2714,3253,4787,3475,1150
2021-03-02,4775,20481,2087,1743,2663,3317,4814,3450,1154
2021-03-03,4780,20527,2001,1764,2647,3367,4847,3468,1157
2021-03-04,4810,20625,1988,1830,2650,3293,5074,3465,1159
2021-03-05,4835,20761,1966,1860,2658,3247,4808,3475,1167
2021-03-06,4870,20592,1944,1872,2650,3247,4884,3487,1170
